Date,pH,Electrical Conductivity @ 25C (µs/cm),TDS (mg/L),Alkalinity (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Iron (mg/L),Chloride (mg/L),Sulphate (mg/L),Nitrate (mg/L),Fluoride (mg/L),Potassium (mg/L),Silica (mg/L),Sodium (mg/L)
25.05.2022,6.37,1483.0,1143.0,,,,,0.15,,,23.9,,,,
24.11.2021,6.83,2006.0,1256.0,201.0,395.0,96.7,37.3,0.1,464.0,121.0,23.8,0.63,,,
22.09.2021,6.64,2014.0,1288.0,213.0,408.0,95.2,41.3,0.1,506.0,59.3,22.7,0.37,13.0,,207.0
24.06.2019,6.51,1528.0,947.0,158.0,308.0,72.9,30.6,0.16,364.0,40.4,23.5,0.2,,31.4,
10.10.2018,5.86,1120.0,694.0,106.0,234.0,60.2,20.4,0.11,265.0,19.4,48.4,0.16,7.72,67.6,109.0
23.10.2017,6.73,1190.0,738.0,202.0,268.0,78.8,17.3,0.01,224.0,34.1,5.4,0.2,7.88,53.9,90.0
21.11.2016,6.14,1025.0,645.0,152.0,236.0,61.5,20.1,0.09,188.0,110.0,42.3,0.51,7.38,71.0,
