date,actual consumption,predicted_consumption,population,demand
2017-05-27,3109111,3126466.5,,
2017-05-28,3177953,3156160.0,,
2017-05-29,3163921,3241082.0,,
2017-05-30,3271968,3256468.0,,
2017-05-31,3251854,3237240.2,,
2017-06-01,3272599,3251340.8,,
2017-06-02,3173912,3206787.2,,
2017-06-03,3279742,3277078.0,,
2017-06-04,3301335,3270415.2,,
2017-06-05,3175550,3183342.8,,
2017-06-06,3132085,3182947.2,,
2017-06-07,3176634,3173397.2,,
2017-06-08,3210619,3187304.2,,
2017-06-09,3125081,3174953.0,,
2017-06-10,3226717,3199605.5,,
2017-06-11,3253177,3215739.2,,
2017-06-12,3147163,3184739.5,,
2017-06-13,3089229,3195244.8,,
2017-06-14,3260910,3198375.0,,
2017-06-15,3311034,3205737.2,,
2017-06-16,3172359,3192916.2,,
2017-06-17,3084861,3184772.0,,
2017-06-18,3255660,3204816.0,,
2017-06-19,3115022,3200038.8,,
2017-06-20,3299223,3212730.5,,
2017-06-21,3204441,3215073.2,,
2017-06-22,3293432,3252681.0,,
2017-06-23,3250127,3233429.5,,
2017-06-24,3132652,3176186.5,,
2017-06-25,3176995,3224065.8,,
2017-06-26,3304246,3241206.2,,
2017-06-27,3156607,3189658.0,,
2017-06-28,3131295,3166192.2,,
2017-06-29,3134579,3181574.2,,
2017-06-30,3147138,3160629.2,,
2017-07-01,3145970,3183810.2,,
2017-07-02,3179391,3197265.8,,
2017-07-03,3294734,3272668.0,,
2017-07-04,3269938,3252294.2,,
2017-07-05,3187717,3184208.0,,
2017-07-06,3107341,3187996.0,,
2017-07-07,3137228,3185360.0,,
2017-07-08,3287603,3266363.2,,
2017-07-09,3283473,3278987.8,,
2017-07-10,3245803,3247463.5,,
2017-07-11,3204299,3259594.8,,
2017-07-12,3248962,3230690.5,,
2017-07-13,3299792,3226242.5,,
2017-07-14,3113731,3208189.8,,
2017-07-15,3285802,3225367.8,,
2017-07-16,3288506,3236990.0,,
2017-07-17,3202150,3245126.8,,
2017-07-18,3156015,3218558.2,,
2017-07-19,3148364,3217413.5,,
2017-07-20,3256800,3223930.5,,
2017-07-21,3324462,3235392.8,,
2017-07-22,3301774,3267364.8,,
2017-07-23,3096136,3159929.5,,
2017-07-24,3326565,3235794.2,,
2017-07-25,3218257,3259056.0,,
2017-07-26,3159924,3217646.2,,
2017-07-27,3204744,3196641.8,,
2017-07-28,3207974,3181987.5,,
2017-07-29,3256661,3214732.5,,
2017-07-30,3191615,3193204.5,,
2017-07-31,3220019,3219724.0,,
2017-08-01,3278453,3266223.8,,
2017-08-02,3203926,3234393.0,,
2017-08-03,3290787,3282789.0,,
2017-08-04,3205647,3248064.2,,
2017-08-05,3163425,3189643.0,,
2017-08-06,3335237,3231522.0,,
2017-08-07,3284267,3251447.5,,
2017-08-08,3298056,3264762.0,,
2017-08-09,3194669,3282126.2,,
2017-08-10,3320411,3287382.2,,
2017-08-11,3282170,3297912.5,,
2017-08-12,3105823,3232035.5,,
2017-08-13,3252863,3245558.2,,
2017-08-14,3163263,3217857.5,,
2017-08-15,3314803,3249656.8,,
2017-08-16,3118801,3254681.8,,
2017-08-17,3287210,3277672.8,,
2017-08-18,3164083,3244096.0,,
2017-08-19,3187092,3218756.8,,
2017-08-20,3131551,3188451.0,,
2017-08-21,3307658,3257835.2,,
2017-08-22,3307747,3260134.0,,
2017-08-23,3190592,3218364.2,,
2017-08-24,3330651,3292051.0,,
2017-08-25,3321261,3279877.8,,
2017-08-26,3242145,3231860.8,,
2017-08-27,3181830,3186255.5,,
2017-08-28,3309002,3266949.0,,
2017-08-29,3355392,3236369.8,,
2017-08-30,3239956,3243826.2,,
2017-08-31,2871174,2920241.5,,
2017-09-01,2829822,2837210.2,,
2017-09-02,2819090,2882936.5,,
2017-09-03,2991049,2957451.8,,
2017-09-04,3027691,2983150.8,,
2017-09-05,2884007,2893477.8,,
2017-09-06,2828167,2906325.5,,
2017-09-07,2907181,2897300.0,,
2017-09-08,2913484,2917165.2,,
2017-09-09,2836282,2965346.8,,
2017-09-10,3004059,3000495.0,,
2017-09-11,2929045,2971600.0,,
2017-09-12,2963906,2917448.5,,
2017-09-13,3010650,2947940.2,,
2017-09-14,2810009,2900718.0,,
2017-09-15,2925982,2922318.8,,
2017-09-16,2949211,2936189.0,,
2017-09-17,2857543,2941087.0,,
2017-09-18,3009689,2974207.5,,
2017-09-19,2920660,2923179.2,,
2017-09-20,2916768,2932307.8,,
2017-09-21,2834654,2897074.0,,
2017-09-22,2950650,2950965.8,,
2017-09-23,2861376,2862721.2,,
2017-09-24,2866273,2870632.0,,
2017-09-25,2937415,2913019.5,,
2017-09-26,2985631,2918034.2,,
2017-09-27,2981713,2976068.8,,
2017-09-28,2986100,2960973.0,,
2017-09-29,2917958,2964258.8,,
2017-09-30,3019968,3009278.0,,
2017-10-01,2871509,2881243.2,,
2017-10-02,2976309,2975630.8,,
2017-10-03,2942676,2953204.0,,
2017-10-04,2847309,2948775.0,,
2017-10-05,2969017,2914197.5,,
2017-10-06,2868856,2906222.0,,
2017-10-07,2952667,2968637.8,,
2017-10-08,3021213,3006550.5,,
2017-10-09,2909978,2950748.8,,
2017-10-10,2864555,2929897.0,,
2017-10-11,2994770,2970917.8,,
2017-10-12,2922870,2919270.2,,
2017-10-13,2893513,2926934.5,,
2017-10-14,3026410,2953026.2,,
2017-10-15,2916136,2940827.0,,
2017-10-16,2827713,2917835.2,,
2017-10-17,3048865,2960936.2,,
2017-10-18,2841896,2907116.8,,
2017-10-19,2943017,2939064.2,,
2017-10-20,2979621,2957764.2,,
2017-10-21,2930720,2925036.2,,
2017-10-22,2948955,2932874.5,,
2017-10-23,2822991,2861587.2,,
2017-10-24,2858859,2879294.8,,
2017-10-25,2815449,2876742.5,,
2017-10-26,2846618,2916369.8,,
2017-10-27,2976561,2975125.0,,
2017-10-28,3027870,2990305.0,,
2017-10-29,2899098,2942296.5,,
2017-10-30,2981472,3001403.8,,
2017-10-31,2841021,2941328.5,,
2017-11-01,2863550,2879531.5,,
2017-11-02,3042503,2968361.5,,
2017-11-03,2891933,2916644.2,,
2017-11-04,2910271,2905295.5,,
2017-11-05,2815631,2874692.8,,
2017-11-06,2867636,2909274.8,,
2017-11-07,2897459,2946326.0,,
2017-11-08,2995894,2954824.2,,
2017-11-09,2950421,2947408.0,,
2017-11-10,2899702,2929215.5,,
2017-11-11,3046856,2987805.2,,
2017-11-12,2864385,2921407.8,,
2017-11-13,3041884,2992229.2,,
2017-11-14,2921174,2929116.2,,
2017-11-15,2884894,2948343.5,,
2017-11-16,3006016,2951800.0,,
2017-11-17,2893869,2913139.0,,
2017-11-18,2955595,2922606.0,,
2017-11-19,2904804,2939255.5,,
2017-11-20,3027562,2997324.8,,
2017-11-21,2963967,2930009.2,,
2017-11-22,2911181,2920454.0,,
2017-11-23,2849974,2871953.5,,
2017-11-24,2890485,2886459.5,,
2017-11-25,2870444,2889463.8,,
2017-11-26,2859520,2882051.8,,
2017-11-27,2982605,2986691.5,,
2017-11-28,2886753,2939902.2,,
2017-11-29,3028279,2984172.0,,
2017-11-30,2866025,3031599.0,,
2017-12-01,2847133,2876626.0,,
2017-12-02,3004295,2979320.0,,
2017-12-03,3001152,2989414.5,,
2017-12-04,3038324,3034805.8,,
2017-12-05,2854841,2899482.2,,
2017-12-06,3023150,2973994.8,,
2017-12-07,2972031,2963386.0,,
2017-12-08,2849278,2896972.8,,
2017-12-09,2935825,2978279.0,,
2017-12-10,3035983,3007712.5,,
2017-12-11,3069572,3031313.8,,
2017-12-12,2958081,2935264.8,,
2017-12-13,2921466,2949729.2,,
2017-12-14,2997298,2939640.2,,
2017-12-15,2855124,2898587.8,,
2017-12-16,2929057,2921388.0,,
2017-12-17,2894696,2915628.0,,
2017-12-18,3056792,3018896.2,,
2017-12-19,2859938,2909068.5,,
2017-12-20,2924851,2924812.5,,
2017-12-21,2845245,2887004.0,,
2017-12-22,2928803,2926361.5,,
2017-12-23,2840276,2851776.8,,
2017-12-24,2912164,2885395.5,,
2017-12-25,2878239,2896494.8,,
2017-12-26,2980895,2947034.8,,
